1,"My brother, the Gentleman",برادرم این مرد محترم,"The story of Sir Walter Raleigh who spread  his cloak on the ground to keep Queen Elizabeth from the hardship of crossing a muddy puddle can qualify that nobleman for an award as a man of tact and good breeding. My brother Kenny, a bachelor with a keen interest in history, was impressed by that anecdote and thought he might demonstrate his excellent upbringing in a parallel situation.","داستان "" سر والتر رالی"" که شنل خود را روی زمین پهن کرد تا ملکه را از دشواری عبور از گودالی گل آلود دور نگه دارد می تواند این مرد شریف را بعنوان مردی با درایت و با تربیت شایسته پاداش کند.برادر مجردم ""کنی"" که علاقه شدیدی به تاریخ دارد تحت تاثیر این داستان قرار گرفت و فکر کرد که او هم می تواند در شرایط مشابهی تربیت عالی اش را نشان دهد.در نتیجه تصمیم گرفت در مترو صندلی اش را به نفع خانمی که کنارش ایستاده بود ترک کند.خانم جوان گر چه به چنین رفتار سخاوتمندانه ای عادت نداشت با خوشحالی پیشنهاد مهربانانه ""کنی"" را پذیرفت.اما دوست پسر حسود آن خانم زیر لب ناسزایی گفت زیرا فکر می کرد که برادرم دارد با دوست دخترش لاس می زند.در مورد تعداد افراد جوانی که در نتیجه چنین برخوردهای جوانمردانه ای دچار مشکلات مشابهی می شوند اطلاعی ندارم اما احتمال آن یک در هزار است.بیچاره ""کنی"" او حالا به صندلی اشاره کرد که خالی بود.",,,,,,,,,,
2,Terror in the Cemetery,وحشت در گورستان,"I like to bet on anything that is exciting, so when my friends tried to tempt me with an offer, I took it. The idea was for me to spend a frigid December night in a cemetery, all alone. in order to win twenty dollars. Little did I realize that they would use dirty tricks to try to frighten me to abandon the cemetery and, therefore, lose my wager . My plan was to recline in front of a large grave, covered by a warm blanket, with a flashlight to help me cut through the dismal darkness. After midnight, I heard a wild shriek. I thought I saw the grave open and a corpse rise out of it. Although I was somewhat numb with fear. I tried to keep my senses. Using good judgment, I knew that no peril could come to me from that sinister figure. When I did not run in terror, my friends, who had decided to conceal themselves behind the nearby tombstones, came out and we all had a good laugh Those spirits that may inhabit a cemetery must have had a good laugh, too.","دوست دارم روی هر چیزی که هیجان انگیز باشد شرط بندی کنم. از اینرو زمانیکه دوستانم تلاش کردند مرا با پیشنهادی وسوسه کنند آنرا پذیرفتم. پیشنهاد این بود که یک شب بسیار سرد ماه دسامبر را تک و تنها در قبرستانی سپری کنم تا بیست دلار برنده شوم. خیلی کم متوجه بودم که آنها از حقه های کثیفی استفاده خواهند کرد که مرا بترسانند گورستان را ترک کنم و در نتیجه شرطم را ببازم. نقشه ام این بود که جلوی قبر بزرگی زیر پتویی گرم و با چراغ قوه ای که تاریکی غم انگیز را پشت سر گذارم، دراز بکشم. پس از نیمه شب جیغ وحشیانه ای را شنیدم. فکر کردم که دیدم قبر باز شد و جسدی از آن بیرون آمد. گرچه تا حدی از ترس بی حس شده بودم اما سعی کردم حواسم را جمع کنم. با مراجعه به عقلم پی بردم که هیچ خطری نمی تواند از آن چهره پلید به سمت من بیاید. وقتیکه از ترس فرار نکردم دوستانم که تصمیم گرفته بودند خودشان را پشت سنگ قبرهای اطراف پنهان کنند بیرون آمدند و همگی کلی خندیدیم. لابد ارواحی هم که در آن گورستان سکونت داشتند حسابی خندیده اند",,,,,,,,,,
3,An Unusual Strike,یک اعتصاب عجیب,"The baseball strike of 1994-95, which kept the public from seeing the annual World series, was not atypical labor dispute in which low-paid workers try to persuade their employers to grant a raise above their minimum wage. On the contrary, players who earned millions of dollars yearly, who were visible on TV commercials, drove expensive autos, and dined with presidents, withheld their essential skills until the executive, legislative, and judicial branches of our government were forced to devise solutions to the quarrel. The team owners, a blend of lawyers, manufacturers, corporate executives, etc. felt that something had to be done about the huge salaries that the players were demanding. Since the talent beyond the major leagues was scarce they had to start spring training in 1995 with wholesale invitation to replacement players. The regular athletes returned in late April but there was a feeling that the strike could happen again.","اعتصاب بیس بال سالهای ۱۹۹۴-۱۹۹۵  که مانع شد عموم مردم رقابتهای جهانی سالیانه را ببینند، بحث کارگری معمولی نبود که در آن کارگران با دستمزد پایین تلاش کنند کارفرمایانشان را متقاعد کنند فراتر از حداقل دستمزدشان به آنها ترفیع اعطاء کنند. برعکس بازیکنانی که سالانه میلیونها دلار بدست می آورند، در پیامهای بازرگانی تلویزیونی قابل رویت بودند، اتومبیل گران قیمت سوار می شوند و با روسای جمهور غذا می خورند، در مهارت اصولی شان دریغ کردند تا اینکه قوای مجریه، مقننه و قضایی دولت ما مجبور شدند برای نزاع آنها راه حلهایی را ابداع کنند. صاحبان تیم ها، که ترکیبی از وکلا، تولیدکنندگان، مدیران سازمانها و غیره بودند احساس کردند که باید پیرامون حقوقهای بالایی که بازیکنان تقاضا می کردند کاری انجام شود. از آنجاییکه استعداد، فراتر از لیگ های اصلی نادر بود، مجبور بودند آموزش بهاری سال ۱۹۹۵ را با دعوت گسترده از بازیکنان جایگزین آغاز کنند. ورزشکاران ثابت در اواخر ماه آوریل بازگشتند اما این احساس وجود داشت که اعتصاب ممکن است دوباره اتفاق افتد.",,,,,,,,,,
4,A Fan in the Air,پنکه ای در هوا,"Fog, tiny droplets of water vapor, is the villain of the airports. In an effort to eliminate dense fog from airports, weathermen utilize giant fan, nylon strings, and chemicals dropped from planes or shot upwards from strange machines on the ground. Nothing works as well, though, as a new weapon in the fight against fog: the helicopter. Researchers believe that if warm dry above the fog could somehow be driven down into the humid blanket of fog, the droplets would evaporate. thus clearing the air. In a recent experiment to test their theory the researchers had a helicopter descend into the fog above barely visible Smith Mountain Airport near Roanoke, Virginia. The blades of the helicopter caused the air to circulate downwards and an enormous hole in the clouds opened above the airport. Weathermen predict that with larger, more expensive helicopters they will be able to make the thickest fog vanish.","مه، یعنی قطرات ریز بخار آب، شرارت فرودگاه هاست.کارشناسان هواشناسی به منظور رفع مه غلیظ از فرودگاه ها، از پنکه های بسیار بزرگ، نخ های نایلونی و مواد شیمیایی استفاده می کنند که یا از هواپیما انداخته می شوند و یا از دستگاه های عجیب از زمین به طرف بالا شلیک می شوند.اگر چه، هیچ چیز به خوبی سلاح جدید، یعنی هلیکوپتر، در نبرد علیه مه کارایی ندارد. پژوهشگران بر این باورند که اگر هوای خشک و گرم بالای مه را بتوان بنحوی به پایین و به درون لایه ی مرطوب مه راند، قطرات تبخیر می شوندو از این طریق هوا را صاف می کند.
پژوهشگران در یکی از آزمایشهای اخیر برای سنجش فرضیه خود هلیکوپتری را از بالای فرودگاه” اسمیت ماونتین” نزدیک “رواناک” در “ویرجینیا” که به سختی قابل رویت بود، به درون مه فرود آوردند.پره های هواپیما باعث شد که هوا به پایین پخش شود و در ابرهای بالای فرودگاه سوراخ بزرگی باز شود .متخصصین هواشناسی پیش بینی می کنند که با هلیکوپتر های بزرگتر و گرانتر می توانند باعث ناپدید شدن غلیظ ترین مه شوند.",,,,,,,,,,
5,Shape Up at Shaker,شکل گیری در  شیکر,"Each summer at the Shaker Work Group, a special school in rural Pittsfield, Massachusetts, where teenagers learn by working, it has been a tradition to have the teenagers take on the burden of setting their own rules and living by them. Although there are some adults on the campus, teenagers are a majority. One summer the group assembled to explore the topic of lights-out time. There was little debate until 10:30 P.M. was suggested. Why? Everyone at the Shaker Work Group works a minimum of several hours each morning on one project and several hours each afternoon on another. Since everyone has to get up early, no one wanted to stay up later at night anyway. Few teenagers at the Shaker Work Group try to evade the rules. When one does, the entire group meets to probe the reasons for the villain’s action. Their aim is to reform the rules breaker. However, at Shaker Village, the theory is that teenagers who are busy working will have no time to break rules.","تابستان هر سال در مدرسه ای استثنایی موسوم به گروه کاری  شیکر واقع در «منطقه روستایی پیتز فیلد ماسوچوست»که نوجوانان در آنجا آموزش عملی میبینند، رسم بر این بوده است که خود آنها (نوجوانان) بار مسؤولیت وضع قوانین را بعهده بگیرند و از آنها پیروی نمایند.گرچه در محوطه مدرسه چند فرد بزرگسال وجود دارد، اما اکثراً نوجوان هستند.در یکی از تابستانها گروه اجتماع کردند تا موضوع زمان خاموشی را بررسی کنند.بعد از کمی بحث ساعت۱۰:۳۰ شب پیشنهاد شد. چرا؟ همه نوجوانان گروه کاری “شیکر” هر روز صبح حداقل چند ساعت روی یک پروژه کار می کنند و چند ساعت هر روز بعد از ظهر روی یک پروژه دیگر.به هر ترتیب چون همه باید صبح زود بیدار شوند، هیچ کس نمی خواست شبها دیرتر از این بیدار بماند.از گروه کاری “شیکر”، نوجوانان کمی تلاش می کنند که از قوانین فرار کنند.وقتیکه یک نوجوان اینکار را انجام میدهد، کل گروه جلسه تشکیل می دهد تا علل کارهای فرد خلافکار را بررسی کند.هدف آنها اصلاح فرد قانون شکن است.اما در روستای”شیکر” نظریه این است که نوجوانانی که مشغول کار هستند هیچ وقتی برای قانون شکنی ندارند.",,,,,,,,,,
6,The Health of Your car,سلامت اتومبیل شما,"The newest approach to automobile repair is the clinic, a place where car doctors go over automobile in an attempt to detect defects. Since the clinic does no repairs, its employees do not neglect the truth. many automobile owners feel that mechanics deceive them that the clinics, even though they undoubtedly charge high fees, are quite popular. The experts do a thorough job for each client. They explore every part of the engine, body and brakes, they do all kinds of tests with expensive machines. best of all, the comprehensive examination takes only about half an hour. With the clinic’s report in your hand, no mechanics will be able to defraud you by telling you that you need major repairs when only a small repair is necessary.","جدید ترین شیوه ی تعمیر اتومبیل عبارت است از کلینیک، جاییکه متخصصین اتومبیل به بالا سر اتومبیل می روند و سعی می کنند عیب آن را شناسایی کنند.از آنجاییکه کلینیک هیچ تعمیری را انجام نمی دهد کارمندانش حقیقت را نادیده نمی گیرند.تعداد اتومبیل دارانی که احساس می کنند مکانیک ها آنها را فریب میدهند آنقدر زیاد است که کلینیک ها حتی با اینکه هزینه زیادی می گیرند، کاملاً پرطرفدار شده اند.کارشناسان برای هر مشتری کامل و دقیق کار می کنند.آنها تمام اجزاء موتور، بدنه و ترمز ها را بررسی می کنند و با دستگاه های گران قیمت همه نوع آزمایش انجام می دهند.بهتر از همه اینکه، این بررسی تنها حدود نیم ساعت طول می کشد.وقتیکه گزارش کلینیک در دست شماست هیچ مکانیکی نخواهد توانست وقتیکه تنها به یک تعمیر کوچک نیاز است شما را فریب دهد و به شما بگوید که به تعمیرات عمده نیازمندید.",,,,,,,,,,
7,The Frozen Future,آینده منجمد ,"Doctors are always devising new cures for diseases that kill people. But suppose you are dying from an incurable illness now. If only you could postpone death until a cure was found! Now some people are trying to do just that. One young man consented to having his body frozen and placed in a massive capsule in order to preserve it until doctors find a cure for his disease. Some people have denounced his unique experiment with a torrent of angry words. They resent human attempts to molest the natural order of life and death. There is also a gloomy fear that the world is already overcrowded and that people have to die to make room for those who are about to be born. If the experiment works, unforeseen problems undoubtedly will arise.","پزشکان همواره برای بیماری هایی که مردم را می کشند درمان های جدیدی را ابداع می کنند. اما تصور کنید الان دارید بخاطر بیماری لاعلاجی از بین می روید.ای کاش می توانستید مرگ را تا زمان یافتن درمانی به تاخیر اندازید.اکنون برخی از افراد در تلاشند که همین کار را انجام دهند.مرد جوانی پذیرفت که بدنش را منجمد کنند و داخل محفظه ی بزرگی قرار دهند و آنرا سالم نگه دارند تا زمانی که پزشکان برای بیماری اش درمانی پیدا کنند.برخی از افراد با سیلی از کلمات خشمگین این آزمایش منحصر به فرد را محکوم کرده اند.آنها از تلاش های انسانی برای بر هم زدن روال طبیعی مرگ و زندگی متنفرند.این ترس مبهم نیز وجود دارد که دنیا همین حالا بسیار پرجمعیت است و مردم برای ایجاد فضا برای آنانکه در شرف تولدند، باید بمیرند.",,,,,,,,,,
8,The Guitar,گیتار,"It is impossible to exaggerate the popularity of the guitar  .One out of every four amateur musicians in the United States plays the guitar. Even a mediocre player can produce a variety of music with this unique instrument. Trying to find valid reasons for the guitar’s ability to survive through the years isn’t hard. One weird theory by a prominent musicians states that guitarists find security hiding behind the bulky instrument. But most people are reluctant to accept this idea because there are more obvious reasons for playing a guitar. It can be carried anywhere, it is inexpensive to buy, and only a few lessons are required to learn to play it well.","نمیتوان محبوبیت گیتار را غلو کرد.در ایالات متحده از هر چهار موسیقیدان غیر حرفه ای یک نفر گیتار می نوازد.با این ابزار منحصر به فرد حتی یک نوازنده معمولی می تواند آهنگ های مختلفی را بنوازد.
تلاش برای یافتن علل توانایی پایداری گیتار در طول سال ها دشوار نیست. یک فرضیه عجیب توسط یک موسیقیدان برجسته بیان میکند که نوازندگان گیتار با پنهان شدن پشت این ابزار حجیم امنیت می یابند.اما اکثر افراد مایل به پذیرش این اندیشه نیستند زیرا برای نواختن گیتار دلایل آشکارتری وجود دارد. همه جا می توان آنرا حمل کرد، خرید آن پرهزینه نیست و تنها چند درس لازم است که یاد بگیریم آنرا خوب بنوازیم.",,,,,,,,,,
9,More about the Guitar,اطلاعات بیشتر درباره گیتار,The guitar one of the oldest instruments known to man. It probably originated in the vicinity of china. There were guitars in ancient Egypt and Greece as well but the written history of the guitar starts in Spain in the 13th century. By 1500 the guitar was popular in Italy France and Spain. A French document of that time concludes that many people were playing the guitar. Stradivarius the undeniable king of violin makers could not resist creating a variety of guitars. Also there was no lack of music written for the instrument. Hoyden Schubert and others wrote guitar music. when the great Beethoven was asked to compose music for the guitar He went into a rage and refused but eventually even Beethoven could not ignore the challenge. Legend tells us he finally called the guitar a miniature orchestra. Indeed the guitar does sound like a little orchestra. perhaps that is why in rural areas around the world the guitar has been a source of music for millions to enjoy.,"گیتار یکی از قدیمی ترین ابزارهایی است که برای بشر شناخته شده است. این ابزار احتمالا از حوالی چین نشات گرفته است. در یونان و مصر باستان نیز گیتار وجود داشته است. اما تاریخچه مکتوب گیتار از قرن ۱۳ در اسپانیا شروع می شود. تا سال ۱۵۰۰ گیتار در فرانسه، اسپانیا و ایتالیا معروف شده بود. نتیجه سندی به زبان فرانسه از آن زمان این است که افراد زیادی گیتار می نواختند. استرا دیواریوس استاد مسلم سازندگان ویولن، نتوانست با میل خود برای ساختن گیتارهای مختلف مقابله کند. همچنین موسیقی مکتوب برای این ابزار وجود نداشت. هایدن، شوبرت و دیگران موسیقی گیتار نواختند. زمانیکه از بتهون معروف خواسته شد که برای گیتار موسیقی بسازد عصبانی شد و امتناع ورزید اما سرانجام حتی بتهون نتوانست این چالش را نادیده بگیرد. به گفته روایات وی سرانجام گیتار را ارکستری کوچک نامید. به راستی گیتار همچون ارکستری کوچک به نظر می رسد. شاید به همین خاطر است که در مناطق روستایی سراسر جهان گیتار برای میلیونها نفر یک منبع موسیقی بوده است که از آن لذت می برند",,,,,,,,,,
10,Bet on the Blond,شرط بندی روی مو طلایی ها,"Can women excel as jockeys in big-time horse racing? 
Years ago the feminine touch was kept out of racing, but now at tracks all over the country women mount horses and compete with men, many of whom dread the whole idea. Their masculine image, they feel, may be threatened. Also, some offer the weak argument that females are a menace on the track. But, as we all know, we should resist* the tendency to underestimate the power of women. A few female jockeys have been victorious in numerous races, and this is probably what has put the male jockeys in a rage. It would be wise if the men were more flexible in their attitudes toward women athletes.","آیا خانم ها می توانند در رقابتهای سوارکاری به عنوان سوارکاران حرفه ای برتری پیدا کنند؟تا چندی پیش ,از ارتباط زنان در مسابقات جلوگیری می شد.اما اکنون در پیست های سراسر کشور خانمها سوار اسب می شوند و با آقایان مسابقه می دهند که بسیاری از آقایون از این اندیشه وحشت دارند. آقایان احساس می کنند که وجهه مردانگی آنها ممکن است از بین برود. برخی نیز این استدلال ضعیف را ارائه می کنند که خانمها در پیست تهدیدی هستد. اما همانگونه که همه ما می دانیم باید در برابر روند ضعیف سازی قدرت زنان مقاومت کنیم. چند سوار کار زن در مسابقات متعددی پیروز شده اند و شاید همین امر است که سوارکاران مذکر را خشمگین کرده است. عاقلانه است که آقایان در برخوردشان نسبت به ورزشکاران زن انعطاف پذیرتر باشند.",,,,,,,,,,
